Offer,"City area/
Street",Latitude,Longitude,Type of room,Total rent [€],No. of rooms,Size [m2]
60636,"Oberhaching, Landkreis München
Tisinstraße",48.021761,11.5933197,Room in a shared flat,"259,00 €",1,8
60635,"Höhenkirchen-Siegertsbrunn
Wirtsbreite",48.0210411,11.7178912,Separate room,"550,00 €",1,12
60631,"Oberhaching Landkreis München
Tisinstraße",48.021761,11.5933197,Room in a shared flat,"478,00 €",1,17
60630,"Gilching - Neugilching
Sonnenstr.",48.1010422,11.289638,Subletting,"500,00 €",1,12
60629,"München Forstenried
Rotenhanstr.",48.0758919,11.4894477,Subletting,"525,00 €",1,20
60628,"Au in der Hallertau
Freisingerstr.",48.5534948,11.747235,Apartment,"550,00 €",2,45
60627,"München-Pasing
Offenbachstr.",48.1515245,11.4665839,Separate room,"700,00 €",1,19
60626,"Vaterstetten
Asternweg",48.0998271,11.7684525,Subletting,"450,00 €",1,30
60625,"Germering - Landkreis West
Oberfeldstr.",48.1298396,11.3558306,Separate room,"380,00 €",1,17
60624,"Untermenzing
Weinschenkstr.",48.1758554,11.468925,Flat,"1.800,00 €",3,93
60623,"Sendling
Aidenbachstrasse",48.0926885,11.5221456,Room in a shared flat,"580,00 €",1,20
60622,"Karlsfeld
Rathausstraße",48.2267302,11.468188,Room in a shared flat,"550,00 €",1,10
60621,"Haar
Bahnhofplatz",48.1107785,11.7315056,Room in a shared flat,"565,00 €",1,15
60619,"Unterhaching
Bürgermeister.-Prenn- Straße",48.0581867,11.6198015,Separate room,"380,00 €",1,12
60618,"Garching - Stadtgrenze Nordost
Münchener Str.",48.2365233,11.6419645,Separate room,"635,00 €",1,12
60617,"82110 Germering-Unterpfaffenhofen
Kerschensteinerstraße",48.1164673,11.3554255,Separate room,"680,00 €",1,11
60616,"Obergiesing-Fasangarten - Obergiesing
Traunreuter Str.",48.1023019,11.6042659,Room in a shared flat,"450,00 €",1,15
60615,"Ramersdorf (Ostpark)
Strehleranger",48.1093444,11.6344389,Room in a shared flat,"810,00 €",1,10
60614,"Dachau
Am Heideweg",48.2412447,11.4410641,Room in a shared flat,"300,00 €",2,20
60613,"Trudering
Ickelsamerstr.",48.1217156,11.6765525,Room in a shared flat,"330,00 €",1,12
60612,"Obergiesing
Brünsteinstr.",48.1174576,11.5912968,Apartment,"250,00 €",1,30
60611,"Trudering
Bistritzer Weg",48.1338568,11.6554261,Subletting,"80,00 €",1,28
60610,"Schwabing
Nähe Münchner Freiheit",48.163206,11.5870477,Subletting,"580,00 €",1,18
60609,"Schwabing
Nähe Münchner Freiheit",48.163206,11.5870477,Subletting,"430,00 €",1,11
60608,"Schwabing-West
Georgenstr.",48.1564434,11.5708879,Apartment,"635,00 €",1,19.7
60607,"OBERSENDLING
Zaberner Str.",48.0986967,11.5352461,Separate room,"600,00 €",1,14
60606,"Gilching - Geisenbrunn
Strahlaweg",48.1090072,11.3272467,Room in a shared flat,"570,00 €",1,13
60604,"NEUAUBING
Taubertalstrasse",,,Room in a shared flat,"890,00 €",1,26
60571,"Unterhaching
Professor-Huber-Straße",48.0710514,11.6038414,Subletting,"550,00 €",1,13
59220,"Stockdorf
Obere Bergstr.",48.0933362,11.4030963,Separate room,"700,00 €",1,11